sentiment	message
0	Why is it so hard to find the @TVGuideMagazine these days? Went to 3 stores for the Castle cover issue. NONE. Will search again tomorrow...
1	Game 1 of the NLCS and a rematch of the NFC Championship game tomorrow. SF s gonna be cuuuuhraaaaaaaazeeeee
1	@iSWAGx22 there is 2 games the hornets or the heat
2	Never start working on your dreams and goals tomorrow......tomorrow never comes....if it means anything to U, ACT NOW! getafterit
2	Charles Tillman won NFC Defensive Player of the Month.
2	Who s watching rhom ?? It s on now :)
2	Looks like Andy the Android may have had a little too much fun yesterday. http://instagr.am/p/Rfzo6FInsj/ 
1	BLACK FRIDAY Huge Saving Aerial View of a City, Paris Las Vegas, the Las Vegas Strip, Las Vegas,... http://prlasvegas.outdoorkitchennarm.com/black-friday-huge-saving-aerial-view-of-a-city-paris-las-vegas-the-las-vegas-strip-las-vegas-nevada-usa-photographic-poster-print-by-panoramic-images-36x12/ …
2	YES we all know INDIO vs CV is tomorrow the BELL GAME. Its enough.!!
0	@MelmurMel @PBandJenelley_1 @vl_delp_ham_ Jenelle lies,1st she said she was alone &the hosp.now she s saying how weird it was for Keiffer s
0	It s a rumor goin around about how to vote, ima look into it and get back to y all
2	@tantrak I m going to Hong Kong during that time and mamA is on Nov 30. I want to see them live
2	Happy 20th Mr. President! Nick J forever off the chain.
1	Mohamed Morsi, Egypt s Muslim Brotherhood president, instructed the Supreme Council of the Armed Forces Thursday... http://fb.me/1AIvanLJZ 
1	C mon Avila! You just got tagged out by a guy who looks like the kid Bill Murray was researching in The Royal Tenenbaums! Tigers
0	Predicted AFC to win League Cup before last night s draw. Even more certain now. 2-1 over Chelsea in final after seeing off Bradford & Boro
1	At the first Grammy Awards, held on 4 May 1959, Domenico Modugno beat out Frank Sinatra and Peggy Lee for the Record of the Year,with Volare
2	@lovemccurdyjenn It is!
2	Good morning Thursday. Life is fragile. We re not guaranteed a tomorrow so give it everything you ve got. - Tim Cook [Do it for Jobs!]
2	Virgo rising is one of the rising signs that is more advantageous for relationships because Pisces desc
0	My teachers call themselves givng us candy....wasn t even the GOOD stuff. I might go to Walmart or CVS tomorrow/
1	Broncos Peyton Manning named AFC Offensive Player of the month. It s his 5th such honor, second to Tom Brady s 6, tied w/ TD.
1	@TooZany is bringing out Kendrick Lamar the 6th of December!?! Get your tickets now!
2	@jackseymour11 I may have an Android phone by the time I get back to school! :)
1	Andre s Wigan Warning - COYS Official Site Wigan might currently occupy 15th place in the Premier League,... http://tmblr.co/ZiAjGyWOM57G 
1	Whoa, Songza just gave me Oasis - instant flashback to high school days with @KSmiley2
1	When my professor passes out candy and says a very small amount of that may be from Valentines day, just so you know
1	How are they going to act in new york with the subways out? They better clutch it out like Eli Manning 4th quarter
0	Homegrown talent missing on Signing Day: Throughout most of the day on Wednesday, the video scoreboard ... http://bit.ly/ztNRG0  Raleigh
2	taylor swift is coming with ed sheeran june 29th? most perf news i ve heard all night.
2	The great Noel Gallagher is about to hit the stage in St. Paul. Plenty of room here so we re 4th row center. Plenty of room. Pretty fired up
1	I hope we do get promoted & don t tail off like last season. Just to piss the southern media off. Hello & welcome to the boro. Our shithole
0	My Halo4 copy was despatched today. That just screams an early delivery!! fingerscrossed
1	Playing as the Browns HC K. Fri in Madden13, XFacalac lost to the Ravens 21-28 on All-Madden ConnectedCareers
2	CFC @juanmata10 is the best of the Premier League! His overall EA Sports Player Performance Index score: 217. (1st place) MataMagic
0	Ohhh Nairobi leggings
1	The pain is far deeper than a Billy cundiff missed field goal. Gotta wake up and forget about it tomorrow. Orioles stayhungry
2	@grandvincenzo on November 16 be ready to head to the movies. Breaking Dawn: Part 2. (;
1	after seeing @Iam_FaithReid s tweet about watching The Vow, I think I may need to watch it.
2	Tomorrow shall consist of watching Will Ferrell films with my fave people and Chinese food, sweet.
2	@jbmclendon WE RE THEY HIGH?! WE RE THEY SITTING IN THE ROOM SAYING I LL GIVE HER A 99 & HIM A 32. BY THE WAY I M HIGH ON CRACK!! hahahaha
1	Alex Poythress had 11 points and 7 rebounds in his debut with Kentucky during an exhibition game on Thursday. He played 28 minutes.
2	I think I may have a heart attack for Jason Wu s new collection. So Charlotte Rampling in the Night http://pinterest.com/pin/68891069271126578/ …
1	If I can get my equipment working correctly we will have a live show on Friday at 6 pm CST with contactee Ray... http://fb.me/1NKnb6ZhU 
2	Amazing concert tonight with Jim White and the TCU Jazz Ensemble/Faculty Jazz Combo! Don t miss tomorrow night... http://fb.me/25EQZW3B0 
1	Nationals 9th Inning had that 4th Quarter Redskins feel, didn t it? Coulda swore I saw Cundiff shank one from the mound.
2	Capello says time for Russia to win big match: Russia manager Fabio Capello on Thursday said that he intended to... http://bit.ly/Q1z5MC 
1	JACKALS GOAL! Jimmy Martin sneaks a rebound past Killeen to give Elmira a 2-1 lead. Bushee & Bellamy with the assists.1:09 left 2nd period
2	Kick-off your weekend with service! EV! s Get on the Bus trip to the Boys & Girls Club is Friday from 3-6! Hope to see you there :)
2	Parker!!!!!
0	Desperation Day (February 13th) the most well known day in all mens life.
1	In South Dakota Columbusday has been replaced with nativeamericanday meanwhile the rest of America celebrates Genocide
1	paul-and5homos: Harry and Louis are just fri- Eleanor is such an inspira- Harry is such a manwho- Louis is... http://tmblr.co/ZFia7xWPV8yE 
1	web Apple software, retail chiefs out in overhaul: SAN FRANCISCO (Reuters) - Apple Inc CEO Tim Cook on Monday replaced the heads of ...
0	@PaperChasinAL: Damn next Saturday tho Niggas was trynna get shit over with early
1	and the 4th one is for Harry Styles!! <33333
1	Blog Post: MTV s Teen Mom 2 Returns for an Intense Third Season with Chelsea, Jenelle, Kailyn and Leah on Monday,... http://dlvr.it/2LLcQV 
1	The Business Leader s Award ceremony will be held during the @wef annual meeting in Davos on the 25 January 2013! http://www.endhumantraffickingnow.com/?portfolio=business-leaders-award-ceremony-to-be-held-during-the-wefs-upcoming-annual-meeting-in-davos-2 …
2	@elifyk1 Hi Elif Greetings from USA midwest How is school going? Happy Turkish Republic Day! I can t wait for Nov 8 NewGlee Yes!
2	Hoping to look FIT tomorrow on the Jeremy Kyle show ITVFashion
1	@Jordon_Atkins me you and joe gone chill Saturday of i come tho
0	Obma fails 2unite us, he divides us by sex, color,party,age, wealth Nevada s 1st Latino governor votes early for Romney, predicts GOP win
2	Grammys concert pays moving tribute to Whitney Houston: Whitney Houston was given a final sendoff by the Grammys on Thursday as Halle...
1	Calling all voters, I m calling on Nevada,Florida,Ohio,Tuesday night is the night u guys will i repeat will shine for the president lets go!
1	We tallied up the votes and are announcing the winners for Calling All Communities! Tune in http://uscellular.com/  on Nov 1st at 11am (CST)
1	It s Radio 1 Rocks next - week starting off with a Live lounge on @fearnecotton s show with Bullet for my Valentine on Monday
2	Drew Peterson is Untouchable no more! Check out these movie photos before you watch on Sun at 7/6c: http://bit.ly/QZkoK1 
1	I always said he could be the best.. pic.twitter.com/xoGbK3Jg
0	Halloween may be the second worst holiday, right after valentine s day
2	PUMPED to open the season tomorrow night against Georgetown! Women s Preview: http://bit.ly/QXekV7  | Men s Preview: http://bit.ly/QXemfI 
0	Just found a piece of candy that may have been injected with something. Why
1	Apple shakeup Mobile software boss eased out: Apple Inc. CEO Tim Cook on Monday pushed out the powerful head of the company&039;s mo...
1	Somehow I managed to lose my princess leia bra on Saturday. I m going to Noel Gallagher as Glock at Phish ie jorts&tank. @custymcnoob
1	so suggest some child friendly apps for ipad and some not so child friendly as well ;)
1	Android 4.2 Camera app with Photo Sphere now available for Galaxy Nexus: Introduced on Monday, Android 4.2 bring... http://bit.ly/TffDi7 
2	SAEED: NowPlaying: BEP, Ricky Martin and KT Tunstall! Great songs to get you through your Sunday! Hate the rain!! http://boltonfm.com/listen-live 
1	The moments last night when you can t tell if it s for Halloween, or just an ordinary night in Camden drinkup
1	Are you ready to shop The New Collection from H&M tomorrow?? The Grey Concept from H&M http://www.madaboutthegirl.com/2012/10/the-grey-concept-from-h.html?spref=tw … fashion shopping highstreet
1	FAQ: What is  skeuomorphic design  and the executive shakeup at Apple: SAN FRANCISCO, CA - MARCH 07: Apple CEO ... http://bit.ly/T89gNo 
1	Fact of the day; Halloween night is Papa John s second busiest night of the year behind Super Bowl Sunday.
2	Omg. Ricky Martin may be gay but he is one fine ass gay man.
2	NBA I m excited :)
2	On the bright side tomorrow s CHOCOLATE DAY getexcited
2	Um I just learned that Sunday is NATIONAL CHOCOLATE DAY. I m totally taking advantage of that.
0	Noel Gallagher: Musicians are fucking idiots. - Yeah, Brian May - he s an idiot... an idiot who just so happens to be a professor?
1	Vow is likely to return from a midsummer break in the Prix de Royallieu at Longchamp on Saturday. http://bit.ly/V6sjMm 
2	@HOPE_forHippies Hell yea lmfaoo , & see you tomorrow Asia baby (;
1	@Real_Liam_Payne I wanted you to know that here in Argentina is going to make a directioner fest 10 November te Amo TE AMO te amo!
1	Its November already.. Christmas will be here soon, then New Year, then Valentine s day then GRADUATION?!?!
2	NowPlaying Michael Jackson - She s Out of My Life (Live At Wembley July 16. http://mjtunes.com/michael-jackson-radio … L.O.V.E it! MjTunes
0	Niggas be on the LAKERS DICK...we still gon finish damn near first seed...while yo team be struggling for the 8th spot
2	YEP☺ strong man. 81 in october RT @StevenB7777: @RediTlhabi Nothing wrong with DT s moral compass, even at, what, 82...
1	I need another Viv necklace... May buy myself one for Valentines day nojoke
2	I m in the bathroom bumping Niggas In Paris Crunk ass hell like it s my 1st time hearing it this song will never get old lol
1	Just got tickets to see Muse in Florida. That, combined with the Grammys two weeks prior, equals a really busy February for Ruby and myself.
2	Welcome Nick J! :) @nickjonas In Manila! So excited for the show on Friday.
1	Battle for the 17th banner: Royal Rumble basketball edition
2	no matter what anyone says...Ray Lewis may be the best defensive player to ever play the game. Hes got heart and hes got anger.
2	4th Album out RED, 20MillionSwifties, 6 Grammy Awards, 10 AMAs, 13 BMI Awards! Reigning Entertainer of the Year ACM! 6YearsTaylorSwift
1	Smooches from Fido: Yea or Nay? - July 6th was International Kissing Day (of the human sort). Later in the month, Ca... http://ow.ly/1lwzys 
2	It s midnight on the east coast which means its @nickjonas birthday! HAPPY 20th BIRTHDAY NICK J!!!!!!!!!! <333
0	Apple CEO apologizes for error-ridden new map app: Apple CEO Tim Cook apologized Friday for the company s error-ridden new mobile map...
1	Monta Ellis / Ellis provided just five points on 2-of-13 shooting Thursday http://goo.gl/fb/rh1J8  nba playersnews
1	When I teach a basketball in my own school, we re gonna spend the 1st day watching Larry Bird videos, & the rest will take care of itself.
1	AT&T offers free cloud storage for iOS and Android AT&T on Thursday announced a new service it calls AT&T Locker th... http://cnet.co/RxB7aa 
2	We are here @NBCofChicago for our 12th Anniversary celebration. You still have time to make it - 6620 S. King Dr
1	@mysticvalley Mitch are you free on Sunday to bale leaves for an hour? If not no big deal you can have them for animals
1	@JimmyMcGorman @Ferlazz @rodneyondrums @stevefekete Here s a pretty good one ! pic.twitter.com/6ayytZtY
2	Love how I skipped every category of the NTA s besides the soaps. Couldn t give half a fuck if everything else went off the air tomorrow.
0	The NFL area in Nike Town on Oxford Street in London has now been moved to the 2nd floor. @NikeUK, @usnikefootball pic.twitter.com/qZ53EHhO
1	New York Giants: Game-by-Game Predictions for the 2nd Half of the Season http://dlvr.it/2PF10l 
1	C mon c mon does sound like Queen s we will rock you somehow...
1	Mashed out to Niggas In Paris in the club while in Paris... as cliche as it may sound. WeOutHere
1	Pick the Chelsea team to play Swansea - Chelsea s focus now turns back to the Premier League and on Saturday we make... http://ow.ly/2sZ1js 
1	I have this vision of all European airports full with hockey players.
2	My mom just texted me reminding me that Grammys birthdays tomorrow.. HOW COULD I EVER FORGET? BiggestDayOfTheYear
2	The mark of athena here we goooo. Brb reality
0	Esperance will be without star player Youssef Msakni for the first leg of the Champions League final against Al Ahly on Saturday. AFRICA
0	@chrischris__ The Sun: Paolo Di Canio says beating Aston Villa tonight would be like having sex with Madonna. legend
0	OBVIOUSLY, i am not a fan of Dream High 2 and i haven t even watched it! well, i watched the 1st ep,that s where i heard that song!^^
2	Black History Fact: Marsalis is the 1st and only artist to win both classical and jazz Grammy Awards in one year, and to repeat the next yr
2	Watching David Letterman with no audience but playing like they are still there is the 2nd most brilliant thing I ve seen tonight.
1	Gov. Mitch Daniels will announce his Indiana Supreme Court pick at 10 a.m. Will the 3rd time be the charm for a female member of the panel?
1	Goodnight everyone!!! Talk to you all tomorrow :D I shall leave you with Harry Styles -A http://25.media.tumblr.com/tumblr_mcpyrnkgqh1rs436uo1_500.png …
1	Most common nights to order pizza: NYE, Jan 1, day before Thanksgiving, Super Bowl Sunday, Halloween. http://p-bu.mp/msp- 
2	The Grey and Yellow Gold Wedding Puzzle is now up with the first piece being a unique two-tone dress by @shopbop! http://piecefulwedding.com/puzzle/31/Monday …
1	HARAKAH: Iran army monitoring all ships in Gulf: TEHRAN, Oct 28: A senior commander of the Islamic Revolution Gu... http://bit.ly/VSN8MS 
1	HT: Norwich 0-0 Spurs. We ve edged the 1st half without creating any clear cut chances. Bale s had a couple of decent long range efforts.
2	Guys, the Marijuana law in Colorado, Oregon, and Washington can pass this Tuesday. HighHopes
2	Breezin  won the Best Pop Instrumental Performance at the 19th Grammy Awards
1	Pacino is going to play Joe Paterno. This is the 2nd time he has starred in a film, that has the line  say hello to my little friend- SNL
0	Not wearing make up to Dublin tomorrow until I m getting ready for the party. Help.
1	Snow may fall for parts of CNY the next few days. Find out where the best chances will be at 6:42 am on TV & online: http://www.9wsyr.com/content/mediacenter/live/one.aspx …
1	It seem like Austin Rivers is tryin to had to get a bucket. I feel em tho my 1st game in the league I was trying hard too
1	Cofield draws leadoff walk in top 4th. Zaharion at the plate.
1	I m gonna be the black version of cher lloyd for celebrity day this thursday asdfghj
2	@MehDusta I MISS YOU AND I BETTER GET A JUGE KISS AND HUG TOMORROW NIGHT (because you WILL BE at joe s :))
1	Sat down to watch Michael Jackson this is it on DVD xx
1	On the set of the Axis of the Nigerian Economy, airing every tuesday 8:30pm on NTA international (DSTV) http://lockerz.com/s/252184437 
2	Text from my dad: you like Charles Dickens 1) obvs looking at my amazon wish list (too late for Sunday) 2) why th surprise?!
0	Upset alert in ACC men s soccer: 1 Maryland down 4-2 to Wake Forest late in the 2nd...AND down a man after an earlier red card.
0	really bored of this host on Super Sunday doing nothing but talk and rave about Man Utd BiasPrick
1	I may have missed out seeing Noel Fielding and Rich Fulcher today, but I did just see Tom Tilley! samsimmons
0	Thankfully he s in Germany now. And comes home in January. Still dangerous though.
2	Looper was amazing!!! Now to the theatre to see Simon Callow s  The Mystery of Charles Dickens  ...loving my Wednesday off work :-)
2	If you re an October baby, then Happy Valentine s Day to your folks ... They have an annual memory
1	Negros and nigglettes, all who would like to attend the a$ap rocky concert on November 17th at starland lemme know tickets are only 25
2	Wish Maddie luck next saturday, she has a solo audition for Britain s Got Talent! :) ~ Ellie xxxxx
1	% of Joe Pa masks at Penn State Sat? Or will PSU by allow then in the stadium? Is it bad to wear it? @Espngreeny
0	@Matt1Murphy so what do you think o me getting to go up there yesterday?? pretty intense...
2	Mizzou commemorates its win over Kentucky with a T-shirt. No, really. | Dr. Saturday - Yahoo! Sports http://sports.yahoo.com/blogs/ncaaf-dr-saturday/mizzou-commemorates-win-over-kentucky-t-shirt-no-220237716--ncaaf.html … fb
1	When desean jackson returned that punt against giants, that was awesome
1	Not sure why, but really have the bug lately to buy a .30-06 - maybe I just like saying .30-06
2	Happy Valentine s Day!!! @MAziing: Everyday is the 14th!
1	I have to finish reading Paterno by tomorrow so I can watch football Sunday and Monday and prepare for the NBA2k13 release 120pagesleft
1	Couldn t be more tiredd! Chinese & A early night sounds good @haydengg <3
2	Just watched The Campaign with Will Ferrell and Zack Galafianakis... Good fun for a Wednesday. Hilarious
1	@sumeetkulkarni Season ends with Superbowl in first week of February.
1	Impressions...: Review: The Mark of Athena (Heroes of Olympus 3) ... http://www.impressionsofareader.com/2012/10/review-mark-of-athena-heroes-of-olympus.html?spref=tw …
1	Crazy I was in a meeting with an old NBA player that was picked 3rd before Larry Bird
0	As an introduction to Literature we wrote about The Woman In Black, not something I particulalry want to read, may just cry ShitMyself
1	@Ilovedoobz: @Patty_flipping I did, the other new is in today, northern lights...... I get payed tomorrow!
1	Just finished rehearsing with @DWHY - we are ready for the Kendrick Lamar show tomorrow, shout outs to WVU... pic.twitter.com/d76r8YZH
1	I posted 12 photos on Facebook in the album Super Sunday wid Shobhit Bhatia...... http://fb.me/1JmuY1mc9 
1	I been watching All-Access Kentucky every wed and it has been making me like these young dudes on Kentucky.
2	Nick J all day and 30 on my powder puff pants. Looks like I m gonna be a stud tomorrow under the lights. @L_Starcevich @N_Jeffries13
1	$$ Black Friday Deals Nikon D3200 24.2 Megapixels Digital SLR Camera with 18-55mm NIKKOR VR Lens, Black & Nikon ... http://bit.ly/S9YhCg 
2	Han mon dieu le remix de I am the best dans Dream High 2, je meurs XDDD
1	You do not want to miss this tomorrow night. RJ is moving to Maryland soon, and we have a truly epic set planned... http://fb.me/AMwhaYVv 
1	Don t forget Mitch Daniels is going to be on Steven Colbert s show Thursday. Think this will come up as a topic?
1	@BarackObama: I would think you would do that if you are running for POTUS. It may be part of your job someday.
1	Grammy and Caleb going Freeport tomorrow chalee,
1	@kdbowe See...ummmm....ain know...er...I mean...Can I get back on the hometeam band wagon? What happened...you know when I moved...then...uh
1	@Dapper_Dan1988 I have plans to go to CVS before work today and get something. That may be what I get. I m going to quarantine myself today
1	iPhone 5: Apple CEO pledges to improve new map app: Apple CEO Tim Cook apologized on Friday for the company s er... http://bit.ly/Qh579n 
1	Full Moon:Oct 29th. You can read more if you have your Sun Sign in Libra, Scorpio, Sag, Cap, Aqua or Pisces http://bit.ly/XDRWE1 
1	Drew Peterson may be convicted, but there is still conflict going on http://ow.ly/eqDBF  whenwillitend localnews chicago
1	@WFAN660 Paterno wouldnt be charged. All hearsay on him and he did do his job (minimal as may be). He reported it. Rest is speculation.
0	With all Benson s attention, Frankie feels like a forgotten stepchild. Lets  founding father  him so he know we will never forget 2nd place.
0	Police, protesters clash at Republic Day march in Turkey: On a day marking the 89th anniversary of the founding ... http://bit.ly/XM0AAg 
2	I will be participating in a Google+ Hangout with @TheEconomist tomorrow! I m SUPER excited! Check it out: https://plus.google.com/u/0/events/cjead60p8q24qqtmu95cighgeag …
0	Congratulations to Braves Jason Heyward for Gold Glove honor...first of many for the J-Hey kid!
2	Aww love you Austin Rivers and happy to see you get start in 1st NBA game...but it s against my boys, LETS GO SPURS! Spurs NBA
2	Steven A Smith might be the biggest ass-hat at ESPN.... thats not easy
2	Patrick Roy s last game as a Canadien is one of the selections for this weekend s HNIC rewind.
0	It s a huge mistake for the New York Marathon to be held this weekend when so many are without homes, food and power.
0	the glass may be rising, but it s not getting any warmer here, Lago del Desierto, Argentina http://tmblr.co/ZdR5KwWQChR0 
2	Wish I could make that trip to Athens on Tuesday @iCaptainMorgan
1	Apple software, retail chiefs out in overhaul: SAN FRANCISCO (Reuters) - Apple Inc CEO Tim Cook on Monday pushed out the powerful hea...
1	Capello says time for Russia to win big match: Russia manager Fabio Capello on Thursday said that he intended to... http://bit.ly/Q1z5MC 
1	I m hosting the Day party @ Spartacus Friday From 2-6 and then @ Spy in Raleigh that night!
1	Eli Manning hopes the Giants can uplift the spirits of the millions affected by Sandy in NY with their game against the Steelers on Sunday
1	I Ain t Doing Nun At Work Today But Sorting Out These Things
2	Fabio Capello: From what I ve seen these days I can assure you Russia are capable of getting a good result vs Portugal tomorrow. cantwait
1	What is the point of voting undecided. IT S A WASTE OF A VOTE.
0	Parker, Leonard steal OKC s thunder: Ninety minutes before tipoff Thursday night at the AT&T Center, Oklahoma Ci... http://bit.ly/Ry8xDI 
2	@Kreuzer_11 I really do hope they finish the trade by Tuesday or Wednesday. Gagner is a real solid player and could help the sabres
2	After watching the campaign again I have realized that Step Brothers is still the funniest Will Ferrell movie but this one is in 2nd place
1	@EruditeObserver Synae http://www.dutchnews.nl/news/archives/2012/11/amsterdam_will_not_ban_tourist.php …
2	@VegasGirlXx haha, that s probably the calmest gig I ve been too :L still amazing though! xx
0	I -may- be the only girl on the face of the earth that DOESN T find Channing Tatum attractive. callmecrazy justsayin donthateme
1	Cold pizza and Mass Effect 3. I want my leg healed!! Going to look up some voodoo shit. I ll be walking, jumping and running tomorrow.
2	Remember Cupid at Convo last year with the bomb candy bar?? If you liked that, you ll LOVE next Tuesday s Tr http://instagr.am/p/RN22SIgREH/ 
1	On November 16 ; me, my mom, and my sister are going to see Breaking Dawn: part 2 judgeus
1	Channing tatum will be in white oak tomorrow...for all you stalkers out there
1	6 more weeks then I m home :)
0	My dad & the builder are talking about City and it turns out the builder is sat the row behind me at the Aston Villa game, fuck sake
2	Games played during the week are now more interesting than Super Sunday!
1	hulu Video Game Trailers - Launch Trailer: Check out the launch trailer for Mass Effect 3. Added: Fri Oct 26 00... http://bit.ly/Y0T17V 
2	Where is our defense? Have you seen them? @kcabe21 @Pastorjoshg @Ryan13C @corylethgo
0	Stacie just hit me up and said my packages might be up here tomorrow if that s the case I m not going to the rave in San Fran. priorities
1	Of course it s Aston Villa. Played them off the park on Saturday. Bring it on!
0	Give me 5 mins with Candy the dancer from Deja Vu I m nutting on my 4th pump she that bad lol
2	Kevin Hart show at MSG on November 10th is going to be beautiful
2	RT tutte, anche se non li vedremo, non costa niente. welcometoitalyonedirection I LOVE YOU GUYS.
2	@shootingrocks cof cof~ someone is going to Germany on november 30 ...oh I really envy you :) http://www.c-jes.com/ko/news/detail.asp?document_no=159&seq=340&searchType&searchStr …
2	Thank you snow for cancelling classes today. Now you may stop snowing, so that I can drive to Chapel Hill tomorrow. I d really appreciate it
2	Chick in my class said Flacco is the best QB in the league. 1- why is a chick talkin football. 2. I cant wait for class tomorrow lol
2	entrepreneur angelinvestor pitch in on the new birthday party / Super Bowl Sunday treat http://www.indiegogo.com/projects/265398 
2	OilersMobile: July 20: Sam Gagner | http://bit.ly/LCw6gl-  @gagns89 nice to have you there for at least another year!
2	think i might go see flight tomorrow just because Denzel Washington ..
1	Mohamed Nasheed s Press brief about CONI report - 31 Aug 2012: http://youtu.be/Z-_CRJFfNN4  via @youtube
2	I wish the best of luck to the boro football players and hope they kick butt Saturday for shaun WinItForShaun
1	Calling all reality TV fans: We re inviting LI reality TV stars to join a Google+ Hangout on Sunday and you can too. http://bit.ly/RWF8mY 
0	Honesty is often best policy: Fabio Capello, Russia coach: I was hoping Ronaldo s injury was more serious so he couldn t play tomorrow.
2	Bestie we gotta go see flight with Denzel Washington, comes out Friday. Seems so good @Bsociallyactive
1	Dinner in Athens with my friend, @stevebeuerlein. Preparing for our game on @SEConCBS this Saturday. OleMiss Georgia pic.twitter.com/4QqWxtnd
0	This is Austin Rivers 1st game and people sucking him he a rookie chill !
1	@goatmilkstuff Hello. May I ask how did you get on set of Castle?
2	Throwback Thursday! Daddy and Joe Pa! RIP to, in my eyes, still the most winningest coach in college footbal http://instagr.am/p/O924GgC-k_/ 
0	As previously said the Oilers WILL indeed announce the Gagner signing within 48 hrs as per a VERY connected Edmonton source. MSM clueless
2	Im enjoying Celebrity Juice instead of sleep, going to be fooked tomorrow though
2	The Woman In Black - the legendary ghost thriller, touring to Dubai and Abu Dhabi in November & December. More... http://fb.me/xmTIHGwM 
1	Can it please be Wednesday and POTUS has been re elected. Then we can move this country Forward!
1	Jacksonville really sound like the move tomorrow
1	ASimpleLife opens tomorrow at Lee s 4-Star in San Fran - Roger Ebert called it one of the year s best films http://www.lntsf.com/4-star-theatre.html …
0	My universe definitely expanded while studying for physics. @DanniColee @JessieWagnon pic.twitter.com/1pWtB6yp
1	hcafc loan keeper Ben Amos named in the England under-21s side to face Azerbaijan next Thursday and Norway on Sept 10.
1	norv turner calls a play action pass on 1st & goal at the half-yard line, rivers throws a pick. chargers
1	Obama will get at least 290 electoral votes. Taking all bets. @JoeNBC @morningmika
0	what is the actual motives behind MDP s request to join the government ??
1	Me and @hayleyrose booked in to see A Good Day To Die Hard on February 14 2013 (Valentine s day).
2	@AmianaTyransky: Frankie: I think I m gonna have a date with my bed tomorrow Me: same. That s my boy
2	Pray for Mohamed Morsi the new President of Egypt that he may continue to be a leader for freedom and peace. http://lockerz.com/s/244401131 
1	got the jiiiii-nob! (:
0	Axl Rose needs to just give up. Now. Not later, not soon, not tomorrow. NOW!
2	Shout out to my boy @JshapMMA who fights tomorrow night on the Las Vegas rfa card. He s put in the work so I don t need to wish him luck.
2	My moms bday is in 26 days OMG :0 what should i get her ? Sagittarius
1	If you re on the Isle of Man next Thurs, I ll be talking about Safe House and signing books at Waterstones from 6.30pm. @WaterstonesIoM
1	PBR & @mokbpresents bring you Jim White at the @Do317 Lounge on October 23rd at 7 pm! http://ow.ly/etb1D 
2	Happy Halloween!! Starting this wicked Wednesday off listening to Pink Floyd and Leonard Cohen. Get to take my boys out tonight! Yay!!
0	I wonder what Cortese is thinking after watching that 1st half of total wank? As for Boruc you are a disgrace and a complete TWAT. saintsfc
0	Sad I won t get to see @ZachMTV on The Challenge: Battle of the Seasons tonight :( I guess I ll have to wait until next Wednesday..
0	Austin Rivers needs to get stronger, Spurs guards muscling him tonight. He started and just now scored in 4th. Hornets
1	July 28th National Milk Chocolate Day. You might say milk chocolate is the star of the chocolate (cont) http://tl.gd/iifuck 
1	On Sunday November 4th Olympus experts will be on hand at the Currys store in Cambridge. From 10:30am until... http://fb.me/Jnyk3a5s 
